community,elder_type,service,elder_count_year5,monthly_times_per_person,base_price,is_emergency,theoretical_demand,theoretical_demand_rounded,actual_demand,actual_demand_rounded,satisfaction_rate_budget,theoretical_fee,actual_fee,monthly_budget,charged_theoretical_fee,reduction_alpha
A,自理,助餐,521.2148833024846,14.0,10.0,False,7297.008366234784,7297,7297.008366234784,7297,1.0,72970.08366234784,72970.08366234784,354426.12064568955,185552.49845568452,1.0
A,自理,日间照料,521.2148833024846,8.0,20.0,False,4169.719066419877,4170,4169.719066419877,4170,1.0,83394.38132839755,83394.38132839755,354426.12064568955,185552.49845568452,1.0
A,自理,上门护理,521.2148833024846,0.0,30.0,False,0.0,0,0.0,0,1.0,0.0,0.0,354426.12064568955,185552.49845568452,1.0
A,自理,康复理疗,521.2148833024846,2.0,28.0,False,1042.4297666049692,1042,1042.4297666049692,1042,1.0,29188.033464939137,29188.033464939137,354426.12064568955,185552.49845568452,1.0
A,自理,助浴,521.2148833024846,0.0,25.0,False,0.0,0,0.0,0,1.0,0.0,0.0,354426.12064568955,185552.49845568452,1.0
A,自理,紧急救助,521.2148833024846,0.15,0.0,True,78.18223249537269,78,78.18223249537269,78,1.0,0.0,0.0,354426.12064568955,185552.49845568452,1.0
A,半失能,助餐,150.53436284445817,20.0,10.0,False,3010.6872568891636,3011,3010.6872568891636,3011,1.0,30106.872568891635,30106.872568891635,127954.20841778944,123739.2462581446,1.0
A,半失能,日间照料,150.53436284445817,14.0,20.0,False,2107.4810798224144,2107,2107.4810798224144,2107,1.0,42149.62159644828,42149.62159644828,127954.20841778944,123739.2462581446,1.0
A,半失能,上门护理,150.53436284445817,6.0,30.0,False,903.206177066749,903,903.206177066749,903,1.0,27096.185312002468,27096.185312002468,127954.20841778944,123739.2462581446,1.0
A,半失能,康复理疗,150.53436284445817,4.0,28.0,False,602.1374513778327,602,602.1374513778327,602,1.0,16859.848638579315,16859.848638579315,127954.20841778944,123739.2462581446,1.0
A,半失能,助浴,150.53436284445817,2.0,25.0,False,301.06872568891635,301,301.06872568891635,301,1.0,7526.718142222909,7526.718142222909,127954.20841778944,123739.2462581446,1.0
A,半失能,紧急救助,150.53436284445817,1.0,0.0,True,150.53436284445817,151,150.53436284445817,151,1.0,0.0,0.0,127954.20841778944,123739.2462581446,1.0
A,失能,助餐,114.3562857314568,22.0,10.0,False,2515.8382860920497,2516,2124.300539581035,2124,0.8443708609271522,25158.382860920497,21243.005395810353,116643.41144608593,138142.3931635998,0.8443708609271523
A,失能,日间照料,114.3562857314568,18.0,20.0,False,2058.413143166222,2058,1738.0640778390286,1738,0.8443708609271523,41168.262863324446,34761.281556780574,116643.41144608593,138142.3931635998,0.8443708609271523
A,失能,上门护理,114.3562857314568,12.0,30.0,False,1372.2754287774815,1372,1158.709385226019,1159,0.8443708609271523,41168.262863324446,34761.281556780574,116643.41144608593,138142.3931635998,0.8443708609271523
A,失能,康复理疗,114.3562857314568,6.0,28.0,False,686.1377143887407,686,579.3546926130095,579,0.8443708609271523,19211.856002884742,16221.931393164268,116643.41144608593,138142.3931635998,0.8443708609271523
A,失能,助浴,114.3562857314568,4.0,25.0,False,457.4251429258272,457,386.2364617420064,386,0.8443708609271523,11435.62857314568,9655.911543550159,116643.41144608593,138142.3931635998,0.8443708609271523
A,失能,紧急救助,114.3562857314568,3.0,0.0,True,343.06885719437037,343,343.06885719437037,343,1.0,0.0,0.0,116643.41144608593,138142.3931635998,0.8443708609271523
B,自理,助餐,435.5240654239448,14.0,10.0,False,6097.336915935228,6097,6097.336915935228,6097,1.0,60973.36915935228,60973.36915935228,270024.92056284583,155046.56729092437,1.0
B,自理,日间照料,435.5240654239448,8.0,20.0,False,3484.1925233915586,3484,3484.1925233915586,3484,1.0,69683.85046783117,69683.85046783117,270024.92056284583,155046.56729092437,1.0
B,自理,上门护理,435.5240654239448,0.0,30.0,False,0.0,0,0.0,0,1.0,0.0,0.0,270024.92056284583,155046.56729092437,1.0
B,自理,康复理疗,435.5240654239448,2.0,28.0,False,871.0481308478896,871,871.0481308478896,871,1.0,24389.34766374091,24389.34766374091,270024.92056284583,155046.56729092437,1.0
B,自理,助浴,435.5240654239448,0.0,25.0,False,0.0,0,0.0,0,1.0,0.0,0.0,270024.92056284583,155046.56729092437,1.0
B,自理,紧急救助,435.5240654239448,0.15,0.0,True,65.32860981359173,65,65.32860981359173,65,1.0,0.0,0.0,270024.92056284583,155046.56729092437,1.0
B,半失能,助餐,129.37298293975496,20.0,10.0,False,2587.459658795099,2587,2439.514885117034,2440,0.9428223844282239,25874.59658795099,24395.14885117034,100264.06177831009,106344.59197647858,0.9428223844282237
B,半失能,日间照料,129.37298293975496,14.0,20.0,False,1811.2217611565695,1811,1707.6604195819236,1708,0.9428223844282237,36224.43522313139,34153.20839163847,100264.06177831009,106344.59197647858,0.9428223844282237
B,半失能,上门护理,129.37298293975496,6.0,30.0,False,776.2378976385298,776,731.8544655351102,732,0.9428223844282237,23287.136929155895,21955.633966053305,100264.06177831009,106344.59197647858,0.9428223844282237
B,半失能,康复理疗,129.37298293975496,4.0,28.0,False,517.4919317590198,517,487.9029770234067,488,0.9428223844282237,14489.774089252556,13661.283356655389,100264.06177831009,106344.59197647858,0.9428223844282237
B,半失能,助浴,129.37298293975496,2.0,25.0,False,258.7459658795099,259,243.95148851170336,244,0.9428223844282237,6468.649146987748,6098.787212792584,100264.06177831009,106344.59197647858,0.9428223844282237
B,半失能,紧急救助,129.37298293975496,1.0,0.0,True,129.37298293975496,129,129.37298293975496,129,1.0,0.0,0.0,100264.06177831009,106344.59197647858,0.9428223844282237
B,失能,助餐,106.38407998189997,22.0,10.0,False,2340.4497596017995,2340,1801.8363215477427,1802,0.769867549668874,23404.497596017995,18018.363215477428,98937.19438316696,128511.96861813517,0.769867549668874
B,失能,日间照料,106.38407998189997,18.0,20.0,False,1914.9134396741995,1915,1474.2297176299712,1474,0.769867549668874,38298.26879348399,29484.594352599423,98937.19438316696,128511.96861813517,0.769867549668874
B,失能,上门护理,106.38407998189997,12.0,30.0,False,1276.6089597827997,1277,982.8198117533142,983,0.769867549668874,38298.26879348399,29484.594352599426,98937.19438316696,128511.96861813517,0.769867549668874
B,失能,康复理疗,106.38407998189997,6.0,28.0,False,638.3044798913999,638,491.4099058766571,491,0.769867549668874,17872.525436959197,13759.4773645464,98937.19438316696,128511.96861813517,0.769867549668874
B,失能,助浴,106.38407998189997,4.0,25.0,False,425.5363199275999,426,327.6066039177714,328,0.769867549668874,10638.407998189998,8190.165097944285,98937.19438316696,128511.96861813517,0.769867549668874
B,失能,紧急救助,106.38407998189997,3.0,0.0,True,319.15223994569993,319,319.15223994569993,319,1.0,0.0,0.0,98937.19438316696,128511.96861813517,0.769867549668874
C,自理,助餐,668.0101228671441,14.0,10.0,False,9352.141720140018,9352,9352.141720140018,9352,1.0,93521.41720140018,93521.41720140018,507687.6933790296,237811.6037407033,1.0
C,自理,日间照料,668.0101228671441,8.0,20.0,False,5344.080982937153,5344,5344.080982937153,5344,1.0,106881.61965874306,106881.61965874306,507687.6933790296,237811.6037407033,1.0
C,自理,上门护理,668.0101228671441,0.0,30.0,False,0.0,0,0.0,0,1.0,0.0,0.0,507687.6933790296,237811.6037407033,1.0
C,自理,康复理疗,668.0101228671441,2.0,28.0,False,1336.0202457342882,1336,1336.0202457342882,1336,1.0,37408.56688056007,37408.56688056007,507687.6933790296,237811.6037407033,1.0
C,自理,助浴,668.0101228671441,0.0,25.0,False,0.0,0,0.0,0,1.0,0.0,0.0,507687.6933790296,237811.6037407033,1.0
C,自理,紧急救助,668.0101228671441,0.15,0.0,True,100.20151843007162,100,100.20151843007162,100,1.0,0.0,0.0,507687.6933790296,237811.6037407033,1.0
C,半失能,助餐,198.66023315183398,20.0,10.0,False,3973.2046630366794,3973,3973.2046630366794,3973,1.0,39732.04663036679,39732.04663036679,188727.2214942423,163298.71165080753,1.0
C,半失能,日间照料,198.66023315183398,14.0,20.0,False,2781.2432641256755,2781,2781.2432641256755,2781,1.0,55624.86528251351,55624.86528251351,188727.2214942423,163298.71165080753,1.0
C,半失能,上门护理,198.66023315183398,6.0,30.0,False,1191.961398911004,1192,1191.961398911004,1192,1.0,35758.84196733012,35758.84196733012,188727.2214942423,163298.71165080753,1.0
C,半失能,康复理疗,198.66023315183398,4.0,28.0,False,794.6409326073359,795,794.6409326073359,795,1.0,22249.946113005404,22249.946113005404,188727.2214942423,163298.71165080753,1.0
C,半失能,助浴,198.66023315183398,2.0,25.0,False,397.32046630366796,397,397.32046630366796,397,1.0,9933.011657591698,9933.011657591698,188727.2214942423,163298.71165080753,1.0
C,半失能,紧急救助,198.66023315183398,1.0,0.0,True,198.66023315183398,199,198.66023315183398,199,1.0,0.0,0.0,188727.2214942423,163298.71165080753,1.0
C,失能,助餐,149.08398292502164,22.0,10.0,False,3279.847624350476,3280,3095.2204401982967,3095,0.9437086092715231,32798.47624350476,30952.204401982966,169955.74053452467,180093.45137342616,0.9437086092715231
C,失能,日间照料,149.08398292502164,18.0,20.0,False,2683.5116926503897,2684,2532.4530874349703,2532,0.9437086092715231,53670.2338530078,50649.0617486994,169955.74053452467,180093.45137342616,0.9437086092715231
C,失能,上门护理,149.08398292502164,12.0,30.0,False,1789.0077951002597,1789,1688.30205828998,1688,0.9437086092715231,53670.23385300779,50649.0617486994,169955.74053452467,180093.45137342616,0.9437086092715231
C,失能,康复理疗,149.08398292502164,6.0,28.0,False,894.5038975501299,895,844.15102914499,844,0.9437086092715231,25046.109131403635,23636.22881605972,169955.74053452467,180093.45137342616,0.9437086092715231
C,失能,助浴,149.08398292502164,4.0,25.0,False,596.3359317000866,596,562.7673527633267,563,0.9437086092715231,14908.398292502165,14069.183819083168,169955.74053452467,180093.45137342616,0.9437086092715231
C,失能,紧急救助,149.08398292502164,3.0,0.0,True,447.25194877506493,447,447.25194877506493,447,1.0,0.0,0.0,169955.74053452467,180093.45137342616,0.9437086092715231
D,自理,助餐,391.49105615139206,14.0,10.0,False,5480.874786119489,5481,5480.874786119489,5481,1.0,54808.74786119489,54808.74786119489,227064.8125678074,139370.81598989558,1.0
D,自理,日间照料,391.49105615139206,8.0,20.0,False,3131.9284492111365,3132,3131.9284492111365,3132,1.0,62638.56898422273,62638.56898422273,227064.8125678074,139370.81598989558,1.0
D,自理,上门护理,391.49105615139206,0.0,30.0,False,0.0,0,0.0,0,1.0,0.0,0.0,227064.8125678074,139370.81598989558,1.0
