community,service,theoretical_demand,actual_demand,actual_demand_rounded,demand_retention_rate
A,上门护理,2275.48160584423,2061.9155622927683,2062,0.9061446847107224
A,助浴,758.4938686147435,687.3051874309227,687,0.9061446847107222
A,助餐,12823.533909215997,12431.996162704983,12432,0.9694672506593814
A,康复理疗,2330.704932371543,2223.9219105958114,2224,0.9541842382994927
A,日间照料,8335.613289408513,8015.26422408132,8015,0.9615686267818784
A,紧急救助,571.7854525342012,571.7854525342012,572,1.0
B,上门护理,2052.8468574213293,1714.6742772884245,1715,0.835266532956239
B,助浴,684.2822858071098,571.5580924294748,572,0.8352665329562389
B,助餐,11025.246334332127,10338.688122600004,10339,0.9377285376750076
B,康复理疗,2026.8445424983092,1850.3610137479534,1850,0.9129269536711383
B,日间照料,7210.327724222328,6666.082660603453,6666,0.9245186787015879
B,紧急救助,513.8538326990466,513.8538326990466,514,1.0
C,上门护理,2980.9691940112634,2880.263457200984,2880,0.9662171158921747
C,助浴,993.6563980037545,960.0878190669946,960,0.9662171158921747
C,助餐,16605.194007527174,16420.566823374993,16421,0.9888813594066719
C,康复理疗,3025.165075891754,2974.812207486614,2975,0.98335533197629
C,日间照料,10808.835939713219,10657.777334497798,10658,0.9860245260398106
C,紧急救助,746.1137003569705,746.1137003569705,746,1.0
D,上门护理,1817.3528901693344,1420.8496690262477,1421,0.7818237595527515
D,助浴,605.7842967231114,473.6165563420825,474,0.7818237595527514
D,助餐,9850.979297051937,9001.53334872919,9002,0.9137704056918526
D,康复理疗,1807.0242106047108,1595.158891563491,1595,0.8827545763925763
D,日间照料,6434.786050551436,5771.962676488423,5772,0.8969937199378663
D,紧急救助,455.37905435641255,455.37905435641255,455,1.0
E,上门护理,2564.7152021137604,2361.410162012497,2361,0.9207299742545662
E,助浴,854.9050673712535,787.1367206708323,787,0.9207299742545662
E,助餐,14164.978485289434,13792.252578437117,13792,0.9736868003548753
E,康复理疗,2586.103766788853,2484.451246738221,2484,0.9606927914664254
E,日间照料,9230.446193410397,8925.488633258501,8925,0.9669617747872682
E,紧急救助,642.1362447540158,642.1362447540158,642,1.0
F,上门护理,1506.1876184221544,1101.3809110623056,1101,0.7312375281746676
F,助浴,502.0625394740515,367.12697035410184,367,0.7312375281746675
F,助餐,8502.224162485956,7597.252048799619,7597,0.8935605441127615
F,康复理疗,1544.3148176948512,1323.8196325119695,1324,0.8572213497815118
F,日间照料,5525.332029564455,4827.662811009896,4828,0.8737326164615027
F,紧急救助,377.717703644048,377.717703644048,378,1.0
G,上门护理,2821.1465312544524,2639.734231632031,2640,0.9356955416485387
G,助浴,940.3821770848174,879.9114105440102,880,0.9356955416485386
G,助餐,15605.41506753278,15272.82585155834,15273,0.978687576425545
G,康复理疗,2848.233805014417,2757.5276552032065,2758,0.96815354496126
G,日间照料,10167.206613358416,9895.088163924784,9895,0.973235672315727
G,紧急救助,706.8254943840669,706.8254943840669,707,1.0
H,上门护理,1826.827257524729,1484.262557888509,1484,0.8124810661625554
H,助浴,608.9424191749097,494.75418596283635,495,0.8124810661625554
H,助餐,10242.923056004129,9518.165625798842,9518,0.9292431050938673
H,康复理疗,1863.1782116101094,1681.148956509901,1681,0.9023017476450073
H,日间照料,6661.993052982029,6094.411477117207,6094,0.9148030369664282
H,紧急救助,457.3902027949881,457.3902027949881,457,1.0
I,上门护理,2393.429544823648,2134.1551527376446,2134,0.8916724360461142
I,助浴,797.8098482745493,711.3850509125482,711,0.8916724360461143
I,助餐,13290.97375928407,12815.637373793064,12816,0.9642361504807748
I,康复理疗,2423.016790584949,2293.379594541947,2293,0.9464976072197561
I,日间照料,8654.805123209058,8265.893535080053,8266,0.955064084910926
I,紧急救助,598.6447159322709,598.6447159322709,599,1.0
J,上门护理,2093.7272676097696,1814.25850164038,1814,0.8665209312154418
J,助浴,697.9090892032565,604.7528338801267,605,0.8665209312154418
J,助餐,11816.444410729056,11270.27227477588,11270,0.9537786395832181
J,康复理疗,2146.463103001656,2002.9717498307432,2003,0.9331498626879486
J,日间照料,7679.362846068613,7241.374846183438,7241,0.9429655807826037
J,紧急救助,525.1866880687477,525.1866880687477,525,1.0
