community,elder_type,elder_count_year5,monthly_income,max_income_share,charged_theoretical_fee,monthly_budget,reduction_alpha,charged_actual_fee,budget_utilization
A,自理,521.2148833024846,3400,0.2,185552.49845568452,354426.12064568955,1.0,185552.49845568452,0.5235294117647058
A,半失能,150.53436284445817,3400,0.25,123739.2462581446,127954.20841778944,1.0,123739.2462581446,0.9670588235294116
A,失能,114.3562857314568,3400,0.3,138142.3931635998,116643.41144608593,0.8443708609271523,116643.41144608593,1.0
B,自理,435.5240654239448,3100,0.2,155046.56729092437,270024.92056284583,1.0,155046.56729092437,0.5741935483870968
B,半失能,129.37298293975496,3100,0.25,106344.59197647858,100264.06177831009,0.9428223844282237,100264.06177831009,1.0
B,失能,106.38407998189997,3100,0.3,128511.96861813517,98937.19438316696,0.769867549668874,98937.19438316696,1.0
C,自理,668.0101228671441,3800,0.2,237811.6037407033,507687.6933790296,1.0,237811.6037407033,0.4684210526315789
C,半失能,198.66023315183398,3800,0.25,163298.71165080753,188727.2214942423,1.0,163298.71165080753,0.8652631578947368
C,失能,149.08398292502164,3800,0.3,180093.45137342616,169955.74053452467,0.9437086092715231,169955.74053452467,1.0
D,自理,391.49105615139206,2900,0.2,139370.81598989558,227064.8125678074,1.0,139370.81598989558,0.6137931034482759
D,半失能,115.3656532172596,2900,0.25,94830.5669445874,83640.09858251321,0.8819951338199513,83640.09858251321,1.0
D,失能,93.76324757214805,2900,0.3,113266.00306715484,81574.0253877688,0.7201986754966887,81574.0253877688,1.0
E,自理,567.6787192100539,3500,0.2,202093.6240387792,397375.10344703775,1.0,202093.6240387792,0.5085714285714286
E,半失能,168.38872731186478,3500,0.25,138415.53385035286,147340.1363978817,1.0,138415.53385035286,0.9394285714285714
E,失能,129.53190318688098,3500,0.3,156474.53904975223,136008.49834622504,0.8692052980132451,136008.49834622504,1.0
F,自理,345.02722024382297,2700,0.2,122829.69040680098,186314.6989316644,1.0,122829.69040680098,0.6592592592592592
F,半失能,101.166567996128,2700,0.25,83158.91889281721,68287.4333973864,0.8211678832116789,68287.4333973864,1.0
F,失能,74.93235087044887,2700,0.3,90518.27985150223,60695.20420506359,0.6705298013245033,60695.20420506359,1.0
G,自理,626.407940229608,3600,0.2,223001.22672174044,451013.7169653177,1.0,223001.22672174044,0.49444444444444446
G,半失能,184.8446589279748,3600,0.25,151942.3096387953,166360.1930351773,1.0,151942.3096387953,0.9133333333333334
G,失能,142.67321480721697,3600,0.3,172349.2434871181,154087.0719917943,0.8940397350993377,154087.0719917943,1.0
H,自理,413.5353737718941,3000,0.2,147218.5930627943,248121.22426313648,1.0,147218.5930627943,0.5933333333333333
H,半失能,122.69383530395658,3000,0.25,100854.3326198523,92020.37647796744,0.9124087591240877,92020.37647796744,1.0
H,失能,90.88868714174913,3000,0.3,109793.53406723295,81799.81842757422,0.7450331125827815,81799.81842757422,1.0
I,自理,533.4246424460184,3300,0.2,189899.17271078256,352060.2640143722,1.0,189899.17271078256,0.5393939393939393
I,半失能,159.45273328108794,3300,0.25,131070.14675705429,131548.50495689755,1.0,131070.14675705429,0.9963636363636363
I,失能,119.72609542809336,3300,0.3,144629.12327713676,118528.83447381241,0.8195364238410596,118528.83447381243,1.0000000000000002
J,自理,479.6127006649486,3200,0.2,170742.1214367217,306952.1284255671,1.0,170742.1214367217,0.55625
J,半失能,140.374067866874,3200,0.25,115387.48378657042,112299.2542934992,0.9732360097323601,112299.2542934992,1.0
J,失能,104.29023836737713,3200,0.3,125982.60794779156,100118.62883268205,0.794701986754967,100118.62883268205,1.0
