year,community,self_care,semi_disabled,disabled,elderly_total,monthly_income,self_care_rounded,semi_disabled_rounded,disabled_rounded,elderly_total_rounded
0,A,496.0,152.0,64.0,712.0,3400,496,152,64,712
0,B,408.0,136.0,64.0,608.0,3100,408,136,64,608
0,C,632.0,208.0,80.0,920.0,3800,632,208,80,920
0,D,368.0,120.0,56.0,544.0,2900,368,120,56,544
0,E,536.0,176.0,72.0,784.0,3500,536,176,72,784
0,F,328.0,104.0,40.0,472.0,2700,328,104,40,472
0,G,592.0,192.0,80.0,864.0,3600,592,192,80,864
0,H,392.0,128.0,48.0,568.0,3000,392,128,48,568
0,I,504.0,168.0,64.0,736.0,3300,504,168,64,736
0,J,456.0,144.0,56.0,656.0,3200,456,144,56,656
1,A,499.8359999999999,151.164,75.24,726.2399999999999,3400,500,151,75,726
1,B,412.71799999999996,133.72199999999998,73.71999999999998,620.16,3100,413,134,74,620
1,C,637.7819999999999,204.858,95.75999999999999,938.3999999999999,3800,638,205,96,938
1,D,371.9479999999999,118.332,64.6,554.8799999999999,2900,372,118,65,555
1,E,541.1659999999999,173.394,85.11999999999999,799.68,3500,541,173,85,800
1,F,330.618,102.94200000000001,47.879999999999995,481.44,2700,331,103,48,481
1,G,597.572,189.468,94.24,881.28,3600,598,189,94,881
1,H,395.40199999999993,126.198,57.76,579.3599999999999,3000,395,126,58,579
1,I,508.77399999999994,165.186,76.75999999999999,750.7199999999999,3300,509,165,77,751
1,J,459.626,142.614,66.88,669.12,3200,460,143,67,669
2,A,504.31301099999985,150.61320899999998,85.83858,740.7647999999998,3400,504,151,86,741
2,B,417.84960549999994,131.97600449999996,82.73758999999998,632.5631999999998,3100,418,132,83,633
2,C,644.3157194999999,202.4187705,110.43350999999998,957.1679999999998,3800,644,202,110,957
2,D,376.29142299999984,117.074637,72.61153999999999,565.9775999999998,2900,376,117,73,566
2,E,546.9504534999999,171.38671650000003,97.33642999999998,815.6735999999999,3500,547,171,97,816
2,F,333.6539805,102.1493295,55.26549,491.0688,2700,334,102,55,491
2,G,603.8367969999999,187.54134299999998,107.52745999999999,898.9055999999999,3600,604,188,108,899
2,H,399.28366449999993,124.80272549999998,66.86081,590.9472,3000,399,125,67,591
2,I,514.1356114999999,162.9841185,88.61466999999999,765.7343999999998,3300,514,163,89,766
2,J,463.8340884999999,141.5839815,77.08433,682.5024,3200,464,142,77,683
3,A,509.39151522974976,150.33367491525,95.85490585499998,755.5800959999997,3400,509,150,96,756
3,B,423.3734785898749,130.70255448262495,91.13843092749998,645.2144639999998,3100,423,131,91,645
3,C,651.5571965163748,200.612545786125,124.14161769749998,976.3113599999998,3800,652,201,124,976
3,D,381.0088255167498,116.18527296824999,80.103053515,577.2971519999999,2900,381,116,80,577
3,E,553.3179509378748,169.91777449462504,108.75134656749998,831.9870719999999,3500,553,170,109,832
3,F,337.08238980862495,101.601384388875,62.206401802500004,500.89017599999994,2700,337,102,62,501
3,G,610.75432607825,186.16187133674995,119.96751458499999,916.883712,3600,611,186,120,917
3,H,403.6164086176249,123.77570695987497,75.37402842249999,602.7661439999999,3000,404,124,75,603
3,I,520.0509415333748,161.33071870912497,99.6674277575,781.0490879999999,3300,520,161,100,781
3,J,468.58864479162486,140.88321146587498,86.68059174249998,696.1524479999998,3200,469,141,87,696
4,A,515.0360589121904,150.31177932861056,105.34385967919873,770.6916979199997,3400,515,150,105,771
4,B,429.27060093066393,129.8499002923615,98.99825205697435,658.1187532799999,3100,429,130,99,658
4,C,659.467061739481,199.37779679821188,136.99272866230686,995.8375871999997,3800,659,199,137,996
4,D,386.0810575900712,115.62653567869481,87.13550177123373,588.8430950399998,2900,386,116,87,589
4,E,560.2368060283868,168.93403959549855,119.45596781611435,848.6268134399998,3500,560,169,119,849
4,F,340.88031047387494,101.27945581680683,68.74821322931813,510.9079795199999,2700,341,101,69,511
4,G,618.2887221744922,185.2781474327664,131.6545166327412,935.2213862399999,3600,618,185,132,935
4,H,408.3746167983402,123.08283091909655,83.36401916256311,614.8214668799998,3000,408,123,83,615
4,I,526.4896528661543,160.16994224685362,110.01047464699187,796.6700697599998,3300,526,160,110,797
4,J,473.85771934720157,140.48731036816505,95.7304672446331,710.0754969599998,3200,474,140,96,710
5,A,521.2148833024846,150.53436284445817,114.3562857314568,786.1055318783996,3400,521,151,114,786
5,B,435.5240654239448,129.37298293975496,106.38407998189997,671.2811283455998,3100,436,129,106,671
5,C,668.0101228671441,198.66023315183398,149.08398292502164,1015.7543389439998,3800,668,199,149,1016
5,D,391.49105615139206,115.3656532172596,93.76324757214805,600.6199569407997,2900,391,115,94,601
5,E,567.6787192100539,168.38872731186478,129.53190318688098,865.5993497087998,3500,568,168,130,866
5,F,345.02722024382297,101.166567996128,74.93235087044887,521.1261391103998,2700,345,101,75,521
5,G,626.407940229608,184.8446589279748,142.67321480721697,953.9258139647998,3600,626,185,143,954
5,H,413.5353737718941,122.69383530395658,90.88868714174913,627.1178962175998,3000,414,123,91,627
5,I,533.4246424460184,159.45273328108794,119.72609542809336,812.6034711551997,3300,533,159,120,813
5,J,479.6127006649486,140.374067866874,104.29023836737713,724.2770068991997,3200,480,140,104,724
