community,elder_type,service,elder_count_year5,monthly_times_per_person,theoretical_demand,theoretical_demand_rounded
A,自理,助餐,521.2148833024846,14.0,7297.008366234784,7297
A,自理,日间照料,521.2148833024846,8.0,4169.719066419877,4170
A,自理,上门护理,521.2148833024846,0.0,0.0,0
A,自理,康复理疗,521.2148833024846,2.0,1042.4297666049692,1042
A,自理,助浴,521.2148833024846,0.0,0.0,0
A,自理,紧急救助,521.2148833024846,0.15,78.18223249537269,78
A,半失能,助餐,150.53436284445817,20.0,3010.6872568891636,3011
A,半失能,日间照料,150.53436284445817,14.0,2107.4810798224144,2107
A,半失能,上门护理,150.53436284445817,6.0,903.206177066749,903
A,半失能,康复理疗,150.53436284445817,4.0,602.1374513778327,602
A,半失能,助浴,150.53436284445817,2.0,301.06872568891635,301
A,半失能,紧急救助,150.53436284445817,1.0,150.53436284445817,151
A,失能,助餐,114.3562857314568,22.0,2515.8382860920497,2516
A,失能,日间照料,114.3562857314568,18.0,2058.413143166222,2058
A,失能,上门护理,114.3562857314568,12.0,1372.2754287774815,1372
A,失能,康复理疗,114.3562857314568,6.0,686.1377143887407,686
A,失能,助浴,114.3562857314568,4.0,457.4251429258272,457
A,失能,紧急救助,114.3562857314568,3.0,343.06885719437037,343
B,自理,助餐,435.5240654239448,14.0,6097.336915935228,6097
B,自理,日间照料,435.5240654239448,8.0,3484.1925233915586,3484
B,自理,上门护理,435.5240654239448,0.0,0.0,0
B,自理,康复理疗,435.5240654239448,2.0,871.0481308478896,871
B,自理,助浴,435.5240654239448,0.0,0.0,0
B,自理,紧急救助,435.5240654239448,0.15,65.32860981359173,65
B,半失能,助餐,129.37298293975496,20.0,2587.459658795099,2587
B,半失能,日间照料,129.37298293975496,14.0,1811.2217611565695,1811
B,半失能,上门护理,129.37298293975496,6.0,776.2378976385298,776
B,半失能,康复理疗,129.37298293975496,4.0,517.4919317590198,517
B,半失能,助浴,129.37298293975496,2.0,258.7459658795099,259
B,半失能,紧急救助,129.37298293975496,1.0,129.37298293975496,129
B,失能,助餐,106.38407998189997,22.0,2340.4497596017995,2340
B,失能,日间照料,106.38407998189997,18.0,1914.9134396741995,1915
B,失能,上门护理,106.38407998189997,12.0,1276.6089597827997,1277
B,失能,康复理疗,106.38407998189997,6.0,638.3044798913999,638
B,失能,助浴,106.38407998189997,4.0,425.5363199275999,426
B,失能,紧急救助,106.38407998189997,3.0,319.15223994569993,319
C,自理,助餐,668.0101228671441,14.0,9352.141720140018,9352
C,自理,日间照料,668.0101228671441,8.0,5344.080982937153,5344
C,自理,上门护理,668.0101228671441,0.0,0.0,0
C,自理,康复理疗,668.0101228671441,2.0,1336.0202457342882,1336
C,自理,助浴,668.0101228671441,0.0,0.0,0
C,自理,紧急救助,668.0101228671441,0.15,100.20151843007162,100
C,半失能,助餐,198.66023315183398,20.0,3973.2046630366794,3973
C,半失能,日间照料,198.66023315183398,14.0,2781.2432641256755,2781
C,半失能,上门护理,198.66023315183398,6.0,1191.961398911004,1192
C,半失能,康复理疗,198.66023315183398,4.0,794.6409326073359,795
C,半失能,助浴,198.66023315183398,2.0,397.32046630366796,397
C,半失能,紧急救助,198.66023315183398,1.0,198.66023315183398,199
C,失能,助餐,149.08398292502164,22.0,3279.847624350476,3280
