community,service,theoretical_demand,theoretical_demand_rounded
A,上门护理,2275.48160584423,2275
A,助浴,758.4938686147435,758
A,助餐,12823.533909215997,12824
A,康复理疗,2330.704932371543,2331
A,日间照料,8335.613289408513,8336
A,紧急救助,571.7854525342012,572
B,上门护理,2052.8468574213293,2053
B,助浴,684.2822858071098,684
B,助餐,11025.246334332127,11025
B,康复理疗,2026.8445424983092,2027
B,日间照料,7210.327724222328,7210
B,紧急救助,513.8538326990466,514
C,上门护理,2980.9691940112634,2981
C,助浴,993.6563980037545,994
C,助餐,16605.194007527174,16605
C,康复理疗,3025.165075891754,3025
C,日间照料,10808.835939713219,10809
C,紧急救助,746.1137003569705,746
D,上门护理,1817.3528901693344,1817
D,助浴,605.7842967231114,606
D,助餐,9850.979297051937,9851
D,康复理疗,1807.0242106047108,1807
D,日间照料,6434.786050551436,6435
D,紧急救助,455.37905435641255,455
E,上门护理,2564.7152021137604,2565
E,助浴,854.9050673712535,855
E,助餐,14164.978485289434,14165
E,康复理疗,2586.103766788853,2586
E,日间照料,9230.446193410397,9230
E,紧急救助,642.1362447540158,642
F,上门护理,1506.1876184221544,1506
F,助浴,502.0625394740515,502
F,助餐,8502.224162485956,8502
F,康复理疗,1544.3148176948512,1544
F,日间照料,5525.332029564455,5525
F,紧急救助,377.717703644048,378
G,上门护理,2821.1465312544524,2821
G,助浴,940.3821770848174,940
G,助餐,15605.41506753278,15605
G,康复理疗,2848.233805014417,2848
G,日间照料,10167.206613358416,10167
G,紧急救助,706.8254943840669,707
H,上门护理,1826.827257524729,1827
H,助浴,608.9424191749097,609
H,助餐,10242.923056004129,10243
H,康复理疗,1863.1782116101094,1863
H,日间照料,6661.993052982029,6662
H,紧急救助,457.3902027949881,457
I,上门护理,2393.429544823648,2393
I,助浴,797.8098482745493,798
I,助餐,13290.97375928407,13291
I,康复理疗,2423.016790584949,2423
I,日间照料,8654.805123209058,8655
I,紧急救助,598.6447159322709,599
J,上门护理,2093.7272676097696,2094
J,助浴,697.9090892032565,698
J,助餐,11816.444410729056,11816
J,康复理疗,2146.463103001656,2146
J,日间照料,7679.362846068613,7679
J,紧急救助,525.1866880687477,525
