community,assigned_station,assigned_scale,distance,s1,s2,s3,satisfaction,monthly_demand,monthly_effective_service,effective_ratio,service_covered
A,D,大型,900.0,0.6,0.6,1.0,0.8,25992.188499640008,20309.305854712624,0.7813619024418084,True
B,D,大型,500.0,0.9,0.6,1.0,0.86,21655.217999368357,18189.60450881894,0.8399640451248792,True
C,C,小型,0.0,1.0,0.6,1.0,0.88,34639.621341984355,30416.66666666584,0.8780888903595221,True
D,D,大型,0.0,1.0,0.6,1.0,0.88,18718.500196505847,16088.515216845279,0.8594980926858606,True
E,G,大型,400.0,0.9,0.6,1.0,0.86,28992.87558587118,24933.873003849218,0.8599999999997034,True
F,G,大型,500.0,0.9,0.6,1.0,0.86,15594.96007738194,13411.665666548468,0.8599999999994484,True
G,G,大型,0.0,1.0,0.6,1.0,0.88,32151.912807246437,28293.683270376867,0.8799999999997263,True
H,D,大型,300.0,1.0,0.6,1.0,0.88,19730.133006072283,16958.011687166534,0.8594980926858842,True
I,G,大型,400.0,0.9,0.6,1.0,0.86,26819.09542299753,23064.422063777874,0.8599999999996794,True
J,D,大型,400.0,0.9,0.6,1.0,0.86,23458.816894379317,19704.562732455805,0.839964045124909,True
