community,elder_type,service,actual_demand,effective_service
A,自理,助餐,7297.008366234784,5701.604339177196
A,自理,日间照料,4169.719066419877,3258.0596223869697
A,自理,上门护理,0.0,0.0
A,自理,康复理疗,1042.4297666049692,814.5149055967424
A,自理,助浴,0.0,0.0
A,自理,紧急救助,78.18223249537269,61.08861791975568
A,半失能,助餐,3010.687256889164,2352.4363227011318
A,半失能,日间照料,2107.4810798224144,1646.7054258907917
A,半失能,上门护理,903.206177066749,705.7308968103393
A,半失能,康复理疗,602.1374513778327,470.4872645402262
A,半失能,助浴,301.06872568891635,235.2436322701131
A,半失能,紧急救助,150.53436284445817,117.62181613505655
A,失能,助餐,2124.300539581035,1659.8475109658361
A,失能,日间照料,1738.0640778390286,1358.0570544265931
A,失能,上门护理,1158.709385226019,905.3713696177288
A,失能,康复理疗,579.3546926130095,452.6856848088644
A,失能,助浴,386.2364617420064,301.79045653924294
A,失能,紧急救助,343.0688571943704,268.06093492603344
B,自理,助餐,6097.336915935228,5121.543780400574
B,自理,日间照料,3484.1925233915586,2926.5964459431852
B,自理,上门护理,0.0,0.0
B,自理,康复理疗,871.0481308478896,731.6491114857963
B,自理,助浴,0.0,0.0
B,自理,紧急救助,65.32860981359173,54.87368336143472
B,半失能,助餐,2439.514885117034,2049.1047910462053
B,半失能,日间照料,1707.6604195819236,1434.3733537323435
B,半失能,上门护理,731.8544655351102,614.7314373138615
B,半失能,康复理疗,487.9029770234067,409.820958209241
B,半失能,助浴,243.95148851170336,204.9104791046205
B,半失能,紧急救助,129.37298293975496,108.66865407999875
B,失能,助餐,1801.8363215477427,1513.4777253008735
B,失能,日间照料,1474.2297176299712,1238.2999570643508
B,失能,上门护理,982.8198117533142,825.5333047095672
B,失能,康复理疗,491.4099058766571,412.7666523547836
B,失能,助浴,327.6066039177714,275.17776823652247
B,失能,紧急救助,319.15223994569993,268.07640647558
C,自理,助餐,9352.141720140018,8212.011745525111
C,自理,日间照料,5344.080982937153,4692.578140300063
C,自理,上门护理,0.0,0.0
C,自理,康复理疗,1336.0202457342882,1173.1445350750157
C,自理,助浴,0.0,0.0
C,自理,紧急救助,100.20151843007162,87.98584013062617
C,半失能,助餐,3973.20466303668,3488.8268737381636
C,半失能,日间照料,2781.2432641256755,2442.1788116167145
C,半失能,上门护理,1191.961398911004,1046.6480621214491
C,半失能,康复理疗,794.6409326073359,697.7653747476327
C,半失能,助浴,397.320466303668,348.8826873738164
C,半失能,紧急救助,198.660233151834,174.4413436869082
C,失能,助餐,3095.2204401982967,2717.878681752618
C,失能,日间照料,2532.4530874349703,2223.7189214339605
C,失能,上门护理,1688.30205828998,1482.4792809559735
C,失能,康复理疗,844.15102914499,741.2396404779868
C,失能,助浴,562.7673527633267,494.1597603186578
C,失能,紧急救助,447.2519487750649,392.72696741114385
D,自理,助餐,5480.874786119489,4710.8014249222415
D,自理,日间照料,3131.9284492111365,2691.8865285269953
D,自理,上门护理,0.0,0.0
D,自理,康复理疗,782.9821123027841,672.9716321317488
D,自理,助浴,0.0,0.0
D,自理,紧急救助,58.72365842270881,50.47287240988116
D,半失能,助餐,2035.03889495166,1749.1120487534279
D,半失能,日间照料,1424.527226466162,1224.3784341273993
D,半失能,上门护理,610.5116684854979,524.7336146260283
D,半失能,康复理疗,407.00777899033193,349.8224097506855
D,半失能,助浴,203.503889495166,174.91120487534278
D,半失能,紧急救助,115.3656532172596,99.15655890174602
D,失能,助餐,1485.6196676580407,1276.8872708093704
D,失能,日间照料,1215.5070008111245,1044.7259488440307
D,失能,上门护理,810.3380005407497,696.4839658960203
D,失能,康复理疗,405.16900027037485,348.24198294801016
D,失能,助浴,270.11266684691657,232.16132196534014
D,失能,紧急救助,281.2897427164441,241.76799735700934
E,自理,助餐,7947.502068940756,6834.85177928905
E,自理,日间照料,4541.429753680432,3905.6295881651718
E,自理,上门护理,0.0,0.0
E,自理,康复理疗,1135.357438420108,976.4073970412929
E,自理,助浴,0.0,0.0
E,自理,紧急救助,85.15180788150809,73.23055477809696
E,半失能,助餐,3367.774546237296,2896.2861097640744
E,半失能,日间照料,2357.442182366107,2027.4002768348519
E,半失能,上门护理,1010.3323638711888,868.8858329292224
E,半失能,康复理疗,673.5549092474591,579.2572219528148
E,半失能,助浴,336.7774546237296,289.62861097640746
E,半失能,紧急救助,168.38872731186478,144.8143054882037
E,失能,助餐,2476.9759632590653,2130.1993284027963
E,失能,日间照料,2026.6166972119624,1742.8903596022876
E,失能,上门护理,1351.0777981413082,1161.926906401525
E,失能,康复理疗,675.5388990706541,580.9634532007625
E,失能,助浴,450.3592660471028,387.3089688005084
E,失能,紧急救助,388.5957095606429,334.19231022215286
F,自理,助餐,4830.381083413522,4154.127731735629
F,自理,日间照料,2760.217761950584,2373.7872752775024
F,自理,上门护理,0.0,0.0
F,自理,康复理疗,690.0544404876459,593.4468188193755
F,自理,助浴,0.0,0.0
F,自理,紧急救助,51.75408303657344,44.508511411453156
F,半失能,助餐,1661.494729863416,1428.8854676825379
F,半失能,日间照料,1163.0463109043912,1000.2198273777765
F,半失能,上门护理,498.4484189590248,428.6656403047613
F,半失能,康复理疗,332.2989459726832,285.77709353650755
F,半失能,助浴,166.1494729863416,142.88854676825378
F,半失能,紧急救助,101.166567996128,87.00324847667008
F,失能,助餐,1105.376235522681,950.6235625495058
F,失能,日间照料,904.398738154921,777.7829148132321
F,失能,上门护理,602.9324921032807,518.5219432088213
F,失能,康复理疗,301.4662460516403,259.26097160441066
F,失能,助浴,200.97749736776024,172.8406477362738
F,失能,紧急救助,224.7970526113466,193.32546524575807
G,自理,助餐,8769.711163214512,7717.345823628771
G,自理,日间照料,5011.263521836864,4409.91189921644
G,自理,上门护理,0.0,0.0
G,自理,康复理疗,1252.815880459216,1102.47797480411
G,自理,助浴,0.0,0.0
G,自理,紧急救助,93.9611910344412,82.68584811030826
G,半失能,助餐,3696.893178559496,3253.2659971323565
G,半失能,日间照料,2587.8252249916472,2277.2861979926497
G,半失能,上门护理,1109.0679535678487,975.9797991397069
G,半失能,康复理疗,739.3786357118992,650.6531994264712
G,半失能,助浴,369.6893178559496,325.3265997132356
G,半失能,紧急救助,184.8446589279748,162.6632998566178
G,失能,助餐,2806.221509784333,2469.4749286102133
G,失能,日间照料,2295.9994170962727,2020.47948704472
G,失能,上门护理,1530.666278064182,1346.9863246964803
G,失能,康复理疗,765.333139032091,673.4931623482402
G,失能,助浴,510.2220926880606,448.99544156549337
G,失能,紧急救助,428.0196444216509,376.6572870910528
H,自理,助餐,5789.495232806517,4976.060110213743
H,自理,日间照料,3308.282990175153,2843.462920122139
H,自理,上门护理,0.0,0.0
H,自理,康复理疗,827.0707475437882,710.8657300305348
H,自理,助浴,0.0,0.0
H,自理,紧急救助,62.03030606578412,53.314929752290105
H,半失能,助餐,2238.938600437164,1924.3634567175206
H,半失能,日间照料,1567.2570203060147,1347.0544197022646
H,半失能,上门护理,671.6815801311492,577.3090370152563
H,半失能,康复理疗,447.7877200874328,384.87269134350413
H,半失能,助浴,223.8938600437164,192.43634567175206
H,半失能,紧急救助,122.69383530395658,105.45511742812013
H,失能,助餐,1489.7317925551597,1280.4216343153319
H,失能,日间照料,1218.8714666360397,1047.6177008034533
H,失能,上门护理,812.5809777573598,698.4118005356356
H,失能,康复理疗,406.2904888786799,349.2059002678178
H,失能,助浴,270.86032591912,232.80393351187857
H,失能,紧急救助,272.6660614252474,234.35595973529104
I,自理,助餐,7467.944994244258,6422.432695050062
I,自理,日间照料,4267.397139568147,3669.9615400286066
I,自理,上门护理,0.0,0.0
I,自理,康复理疗,1066.8492848920368,917.4903850071516
I,自理,助浴,0.0,0.0
I,自理,紧急救助,80.01369636690276,68.81177887553638
I,半失能,助餐,3189.054665621759,2742.5870124347125
I,半失能,日间照料,2232.338265935231,1919.8109087042985
I,半失能,上门护理,956.7163996865276,822.7761037304136
I,半失能,康复理疗,637.8109331243518,548.5174024869425
I,半失能,助浴,318.9054665621759,274.25870124347125
I,半失能,紧急救助,159.45273328108794,137.12935062173563
I,失能,助餐,2158.637713927048,1856.4284339772612
I,失能,日间照料,1766.1581295766753,1518.8959914359407
I,失能,上门护理,1177.438753051117,1012.5973276239605
I,失能,康复理疗,588.7193765255585,506.29866381198025
I,失能,助浴,392.4795843503723,337.53244254132017
I,失能,紧急救助,359.1782862842801,308.8933262044809
J,自理,助餐,6714.57780930928,5640.003938015778
J,自理,日间照料,3836.9016053195887,3222.859393151873
J,自理,上门护理,0.0,0.0
J,自理,康复理疗,959.2254013298972,805.7148482879683
J,自理,助浴,0.0,0.0
J,自理,紧急救助,71.94190509974229,60.42861362159761
