community,service,actual_demand,effective_service
A,助餐,12431.996162704983,9713.888172844165
A,日间照料,8015.26422408132,6262.822102704355
A,上门护理,2061.9155622927683,1611.1022664280683
A,康复理疗,2223.921910595812,1737.6878549458334
A,助浴,687.3051874309227,537.034088809356
A,紧急救助,571.7854525342012,446.77136898084564
B,助餐,10338.688122600004,8684.126296747652
B,日间照料,6666.082660603453,5599.26975673988
B,上门护理,1714.6742772884245,1440.2647420234289
B,康复理疗,1850.3610137479532,1554.2367220498206
B,助浴,571.5580924294748,480.0882473411429
B,紧急救助,513.8538326990466,431.61874391701343
C,助餐,16420.566823374993,14418.717301015891
C,日间照料,10657.777334497798,9358.475873350737
C,上门护理,2880.263457200984,2529.127343077422
C,康复理疗,2974.812207486614,2612.1495503006354
C,助浴,960.0878190669946,843.0424476924741
C,紧急救助,746.1137003569705,655.1541512286782
D,助餐,9001.53334872919,7736.80074448504
D,日间照料,5771.962676488423,4960.990911498426
D,上门护理,1420.8496690262475,1221.2175805220486
D,康复理疗,1595.158891563491,1371.0360248304446
D,助浴,473.6165563420825,407.0725268406828
D,紧急救助,455.37905435641255,391.39742866863656
E,助餐,13792.252578437116,11861.337217455919
E,日间照料,8925.488633258501,7675.920224602311
E,上门护理,2361.410162012497,2030.8127393307475
E,康复理疗,2484.451246738221,2136.62807219487
E,助浴,787.1367206708323,676.9375797769158
E,紧急救助,642.1362447540158,552.2371704884536
F,助餐,7597.252048799619,6533.636761967672
F,日间照料,4827.662811009896,4151.790017468511
F,上门护理,1101.3809110623056,947.1875835135828
F,康复理疗,1323.8196325119695,1138.4848839602937
F,助浴,367.1269703541018,315.7291945045275
F,紧急救助,377.717703644048,324.8372251338813
G,助餐,15272.82585155834,13440.08674937134
G,日间照料,9895.088163924784,8707.67758425381
G,上门护理,2639.734231632031,2322.9661238361873
G,康复理疗,2757.5276552032065,2426.624336578822
G,助浴,879.9114105440102,774.322041278729
G,紧急救助,706.8254943840669,622.0064350579789
H,助餐,9518.165625798842,8180.845201246597
H,日间照料,6094.411477117207,5238.135040627857
H,上门护理,1484.262557888509,1275.7208375508917
H,康复理疗,1681.148956509901,1444.9443216418567
H,助浴,494.7541859628364,425.24027918363066
H,紧急救助,457.3902027949881,393.12600691570134
I,助餐,12815.637373793064,11021.448141462035
I,日间照料,8265.893535080053,7108.668440168845
I,上门护理,2134.1551527376446,1835.3734313543744
I,康复理疗,2293.379594541947,1972.3064513060745
I,助浴,711.3850509125482,611.7911437847914
I,紧急救助,598.6447159322709,514.834455701753
J,助餐,11270.27227477588,9466.623489583893
J,日间照料,7241.374846183438,6082.494508068599
J,上门护理,1814.25850164038,1523.9119099407596
J,康复理疗,2002.9717498307432,1682.4242532594656
J,助浴,604.7528338801267,507.9706366469198
J,紧急救助,525.1866880687477,441.1379349561671
