community,elder_type,elder_count_year5,assigned_station,monthly_budget,monthly_pay,economic_accessibility,geographic_accessibility,service_accessibility,overall_accessibility
A,自理,521.2148833024846,D,354426.12064568955,120548.20602832112,1.0,0.6,0.7813619024415093,0.8144085707324529
A,半失能,150.53436284445817,D,127954.20841778944,84217.22035270277,1.0,0.6,0.7813619024410258,0.8144085707323078
A,失能,114.3562857314568,D,116643.41144608591,80879.84235251929,1.0,0.6,0.7813619024408957,0.8144085707322688
B,自理,435.5240654239448,D,270024.92056284583,108284.06849989777,1.0,0.9,0.8399640451244678,0.9219892135373404
B,半失能,129.37298293975496,D,100264.06177831008,73357.95151945407,1.0,0.9,0.8399640451238031,0.921989213537141
B,失能,106.38407998189996,D,98937.19438316696,73747.64188738796,1.0,0.9,0.83996404512371,0.921989213537113
C,自理,668.0101228671441,C,507687.6933790296,173625.3911911023,1.0,1.0,0.878088890359231,0.9634266671077693
C,半失能,198.660233151834,C,188727.2214942423,124900.00207982624,1.0,1.0,0.8780888903588349,0.9634266671076503
C,失能,149.08398292502164,C,169955.74053452467,132434.81576540027,1.0,1.0,0.8780888903588177,0.9634266671076452
D,自理,391.49105615139206,D,227064.8125678074,99599.80155549524,1.0,1.0,0.8594980926853798,0.9578494278056139
D,半失能,115.3656532172596,D,83640.09858251321,62618.21134537046,1.0,1.0,0.859498092684497,0.9578494278053491
D,失能,93.76324757214805,D,81574.0253877688,62219.23428670892,1.0,1.0,0.8594980926843655,0.9578494278053096
E,自理,567.6787192100539,G,397375.10344703775,144508.29476208237,1.0,0.9,0.8599999999992002,0.9279999999997601
E,半失能,168.38872731186478,G,147340.1363978817,103687.04272953307,1.0,0.9,0.8599999999987409,0.9279999999996222
E,失能,129.53190318688098,G,136008.49834622504,103798.80363851544,1.0,0.9,0.8599999999986605,0.9279999999995983
F,自理,345.02722024382297,G,186314.6989316644,87830.12918523484,1.0,0.9,0.8599999999986472,0.9279999999995943
F,半失能,101.166567996128,G,68287.4333973864,51154.09974301578,1.0,0.9,0.859999999997487,0.9279999999992461
F,失能,74.93235087044887,G,60695.20420506359,46321.2935933041,1.0,0.9,0.8599999999971044,0.9279999999991313
G,自理,626.407940229608,G,451013.7169653177,163166.74027097944,1.0,1.0,0.8799999999992627,0.9639999999997788
G,半失能,184.8446589279748,G,166360.1930351773,116466.92269731777,1.0,1.0,0.8799999999988314,0.9639999999996494
G,失能,142.67321480721697,G,154087.0719917943,120330.77833953095,1.0,1.0,0.8799999999987888,0.9639999999996366
H,自理,413.5353737718941,D,248121.22426313648,105208.12804451701,1.0,1.0,0.8594980926854418,0.9578494278056324
H,半失能,122.69383530395658,D,92020.37647796744,68892.21175048583,1.0,1.0,0.8594980926846721,0.9578494278054016
H,失能,90.88868714174912,D,81799.81842757422,62391.454181182184,1.0,1.0,0.8594980926843799,0.9578494278053139
I,自理,533.4246424460184,G,352060.2640143722,135788.576981029,1.0,0.9,0.8599999999991459,0.9279999999997438
I,半失能,159.45273328108794,G,131548.50495689755,98184.61504514143,1.0,0.9,0.859999999998666,0.9279999999995998
I,失能,119.72609542809336,G,118528.8344738124,90458.6946010542,1.0,0.9,0.8599999999984789,0.9279999999995436
J,自理,479.6127006649486,D,306952.1284255671,119245.79754662166,1.0,0.9,0.8399640451245584,0.9219892135373675
J,半失能,140.374067866874,D,112299.2542934992,82163.47020080178,1.0,0.9,0.8399640451239764,0.921989213537193
J,失能,104.29023836737711,D,100118.62883268204,74628.281420777,1.0,0.9,0.839964045123743,0.9219892135371229
