community,assigned_station,s1,s2,s3,satisfaction,monthly_effective_service
A,D,0.6,0.6,0.9999999999996152,0.7999999999998075,20309.30585471317
B,D,0.9,0.6,0.9999999999995381,0.8599999999997691,18189.604508818924
C,C,1.0,0.6,0.9999999999997113,0.8799999999998557,30416.666666665835
D,D,1.0,0.6,0.9999999999994658,0.8799999999997329,16088.5152168447
E,G,0.9,0.6,0.999999999999655,0.8599999999998276,24933.87300384422
F,G,0.9,0.6,0.9999999999993587,0.8599999999996794,13411.66566654347
G,G,1.0,0.6,0.9999999999996889,0.8799999999998445,28293.683270371865
H,D,1.0,0.6,0.9999999999994931,0.8799999999997465,16958.01168716619
I,G,0.9,0.6,0.9999999999996271,0.8599999999998136,23064.422063772876
J,D,0.9,0.6,0.9999999999995737,0.8599999999997868,19704.562732456197
