station,scale,service,price,base_price,direct_cost,price_satisfaction_score,station_delta,candidate_label
C,小型,助餐,7.0,10.0,8.0,1.0,0.0,fine_uniform
C,小型,日间照料,18.0,20.0,16.0,1.0,0.0,fine_uniform
C,小型,上门护理,29.0,30.0,24.0,1.0,0.0,fine_uniform
C,小型,康复理疗,27.0,28.0,23.0,1.0,0.0,fine_uniform
C,小型,助浴,21.0,25.0,20.0,1.0,0.0,fine_uniform
C,小型,紧急救助,0.0,0.0,8.0,1.0,0.0,fine_uniform
D,大型,助餐,7.0,10.0,8.0,1.0,0.0,fine_uniform
D,大型,日间照料,18.0,20.0,16.0,1.0,0.0,fine_uniform
D,大型,上门护理,29.0,30.0,24.0,1.0,0.0,fine_uniform
D,大型,康复理疗,27.0,28.0,23.0,1.0,0.0,fine_uniform
D,大型,助浴,21.0,25.0,20.0,1.0,0.0,fine_uniform
D,大型,紧急救助,0.0,0.0,8.0,1.0,0.0,fine_uniform
G,大型,助餐,7.0,10.0,8.0,1.0,0.0,fine_uniform
G,大型,日间照料,18.0,20.0,16.0,1.0,0.0,fine_uniform
G,大型,上门护理,29.0,30.0,24.0,1.0,0.0,fine_uniform
G,大型,康复理疗,27.0,28.0,23.0,1.0,0.0,fine_uniform
G,大型,助浴,21.0,25.0,20.0,1.0,0.0,fine_uniform
G,大型,紧急救助,0.0,0.0,8.0,1.0,0.0,fine_uniform
